Date,Number,Client
2014-01-01 01:00:00,23.648648648648624,client_1
2014-01-01 01:00:00,0,client_2
2014-01-01 01:00:00,144.81707317073176,client_3
2014-01-01 01:00:00,75,client_4
2014-01-01 01:00:00,266.3690476190475,client_5
2014-01-01 01:00:00,6.359525155455055,client_6
2014-01-01 01:00:00,246.63299663299676,client_7
2014-01-01 01:00:00,50.69930069930072,client_8
2014-01-01 01:00:00,67.741935483871,client_9
2014-01-01 01:00:00,56.07302533532045,client_10
2014-01-01 01:00:00,177.12765957446825,client_11
2014-01-01 01:00:00,38.34991708126038,client_12
2014-01-01 01:00:00,36.0561582641991,client_13
2014-01-01 01:00:00,46.61673553719008,client_14
2014-01-01 01:00:00,43.5649202733485,client_15
2014-01-01 01:00:00,67.61006289308176,client_16
2014-01-01 01:00:00,337.85942492012776,client_17
2014-01-01 01:00:00,10.175879396984925,client_18
2014-01-01 01:00:00,59.91189427312775,client_19
2014-01-01 01:00:00,172.7748691099475,client_20
2014-01-01 01:00:00,29.887920298879227,client_21
2014-01-01 01:00:00,15.006596306068602,client_22
2014-01-01 01:00:00,27.263374485596728,client_23
2014-01-01 01:00:00,260.51401869158906,client_24
2014-01-01 01:00:00,29.4491525423729,client_25
2014-01-01 01:00:00,31.820950060901325,client_26
2014-01-01 01:00:00,116.93936477382101,client_27
2014-01-01 01:00:00,48.2154038822793,client_28
2014-01-01 01:00:00,51.249081557678196,client_29
2014-01-01 01:00:00,118.421052631579,client_30
2014-01-01 01:00:00,31.633616619452326,client_31
2014-01-01 01:00:00,45.492487479131846,client_32
2014-01-01 01:00:00,22.3463687150838,client_33
2014-01-01 01:00:00,145.21800281293923,client_34
2014-01-01 01:00:00,10.757314974182414,client_35
2014-01-01 01:00:00,119.92263056092874,client_36
2014-01-01 01:00:00,99.1492146596861,client_37
2014-01-01 01:00:00,42.6074289876184,client_38
2014-01-01 01:00:00,153.15934065934073,client_39
2014-01-01 01:00:00,122.72727272727275,client_40
2014-01-01 01:00:00,51.14358322744603,client_41
2014-01-01 01:00:00,1170.454545454545,client_42
2014-01-01 01:00:00,44.169611307420496,client_43
2014-01-01 01:00:00,63.45177664974621,client_44
2014-01-01 01:00:00,150.47393364928925,client_45
2014-01-01 01:00:00,39.06249999999998,client_46
2014-01-01 01:00:00,15.436944008372574,client_47
2014-01-01 01:00:00,1171.1956521739123,client_48
2014-01-01 01:00:00,193.95017793594297,client_49
2014-01-01 01:00:00,67.49555950266429,client_50
